build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697861,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13339,117,1411200,110,1411200
1776697861,moon_16bit.png,optimized.cl,560,420,16,false,460,2241,4,117,1411200,109,1411200
1776697861,wires_16b.png,naive.cl,326,326,16,false,10,2241,13366,54,637656,49,637656
1776697861,wires_16b.png,optimized.cl,326,326,16,false,263,2241,5,52,637656,49,637656
1776697861,color_gradient_16bit.png,naive.cl,512,512,16,false,19,2241,12368,129,1572864,122,1572864
1776697861,color_gradient_16bit.png,optimized.cl,512,512,16,false,454,2241,4,127,1572864,122,1572864
1776697861,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,241,2937600,337,2937600
1776697861,building_16b.png,optimized.cl,720,680,16,false,832,2241,5,240,2937600,354,2937600
1776697861,paint_16b.png,naive.cl,500,375,16,false,11,2242,12810,93,1125000,88,1125000
1776697861,paint_16b.png,optimized.cl,500,375,16,false,402,2241,4,93,1125000,88,1125000
1776697861,cars_16b.png,naive.cl,370,415,16,false,10,2241,13036,78,921300,70,921300
1776697861,cars_16b.png,optimized.cl,370,415,16,false,314,2241,4,76,921300,70,921300
1776697861,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13577,113,1350000,105,1350000
1776697861,lamp_16b.png,optimized.cl,450,500,16,false,467,2241,4,112,1350000,105,1350000
1776697861,land_16b.png,naive.cl,1039,789,16,false,58,2241,13597,410,4918626,564,4918626
1776697861,land_16b.png,optimized.cl,1039,789,16,false,1343,2241,4,423,4918626,929,4918626
1776697861,robot_16b.png,naive.cl,450,450,16,false,27,2241,13368,100,1215000,95,1215000
1776697861,robot_16b.png,optimized.cl,450,450,16,false,388,2240,4,101,1215000,95,1215000
1776697863,test_16b.png,naive.cl,1024,683,16,true,39,2241,10251,114,1398784,108,1398784
1776697863,test_16b.png,optimized.cl,1024,683,16,true,1228,2241,4,112,1398784,108,1398784
1776697863,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13339,112,1411200,109,1411200
1776697863,moon_16bit.png,optimized.cl,560,420,16,false,458,2241,4,114,1411200,110,1411200
1776697863,wires_16b.png,naive.cl,326,326,16,false,11,2241,13364,52,637656,49,637656
1776697863,wires_16b.png,optimized.cl,326,326,16,false,264,2241,4,53,637656,49,637656
1776697863,color_gradient_16bit.png,naive.cl,512,512,16,false,20,2241,12368,124,1572864,121,1572864
1776697863,color_gradient_16bit.png,optimized.cl,512,512,16,false,451,2241,4,126,1572864,122,1572864
1776697863,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,243,2937600,541,2937600
1776697863,building_16b.png,optimized.cl,720,680,16,false,830,2241,4,243,2937600,483,2937600
1776697863,paint_16b.png,naive.cl,500,375,16,false,11,2241,12809,93,1125000,88,1125000
1776697863,paint_16b.png,optimized.cl,500,375,16,false,399,2241,4,92,1125000,88,1125000
1776697863,cars_16b.png,naive.cl,370,415,16,false,10,2241,13036,75,921300,70,921300
1776697863,cars_16b.png,optimized.cl,370,415,16,false,309,2241,4,75,921300,70,921300
1776697863,lamp_16b.png,naive.cl,450,500,16,false,56,2241,13577,109,1350000,105,1350000
1776697863,lamp_16b.png,optimized.cl,450,500,16,false,467,2241,4,108,1350000,105,1350000
1776697863,land_16b.png,naive.cl,1039,789,16,false,58,2241,13596,408,4918626,838,4918626
1776697863,land_16b.png,optimized.cl,1039,789,16,false,1335,2241,4,398,4918626,700,4918626
1776697863,robot_16b.png,naive.cl,450,450,16,false,26,2240,13368,96,1215000,95,1215000
1776697863,robot_16b.png,optimized.cl,450,450,16,false,388,2240,4,102,1215000,94,1215000
1776697865,test_16b.png,naive.cl,1024,683,16,true,39,2241,10251,117,1398784,109,1398784
1776697865,test_16b.png,optimized.cl,1024,683,16,true,1220,2240,5,116,1398784,108,1398784
1776697865,moon_16bit.png,naive.cl,560,420,16,false,15,2241,13340,118,1411200,109,1411200
